Apto	Andar	PisoT	PisoS	BanhT	BanhS	Cofre	Cortina	CortinaS	CortinaM	CortinaC	Espelho	EspelhoS	AC	MoveisS	MoveisD	Camas	PortaCont	Cabide	CabideQ	SuportPap	SuportSham	SuportShamS	LuminType	LuminColor	TV	Avarias
415	400	Granito	Bom estado	Reformado		Sim	Sim	Nova	Boa	Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": false, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": false, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}]"	Sim	Sim	3	Não	Sim	Bom estado	Vidro		Smart Roku	
416	400	Granito		Reformado		Sim	Sim	Antiga		Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": false, ""baseColor"": ""Amarela"", ""baseStatus"": ""Antiga"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Sim	Não		Arandela		Philco	
418	400	Madeira	Reparo urgente	Antigo	Tolerável	Não	Sim	Nova	Boa	Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseStatus"": ""Antiga"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": false, ""baseStatus"": ""Antiga"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": false, ""baseStatus"": ""Antiga"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Quadrado	Branco	Smart Roku	Avaria fotografada; Avaria fotografada
419	400	Madeira	Tolerável	Antigo	Reparo urgente	Sim	Sim	Nova	Bom	Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Quadrado	Branco	Smart Roku	Avaria fotografada; Avaria fotografada; Avaria fotografada
420	400	Granito	Bom estado	Reformado		Sim	Sim	Nova	Sobrando 	Um lado	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Cinza"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Não	Sim	3	Não	Sim	Bom estado	Quadrado	Branco	Samsung	
421	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Nova	Boa	Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não	Bom estado	Vidro		Smart Roku	Avaria fotografada
422	400	Madeira	Tolerável	Antigo	Tolerável	Não	Sim	Nova	Boa	Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Sim	Enferrujado	Quadrado	Branco	Smart Roku	.; Avaria fotografada
423	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Nova	Curta 	Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Vidro		Philco	.; Avaria fotografada
424	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Nova		Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": false, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Não	Sim	3	Sim	Não		Vidro		Smart Roku	Avaria fotografada
425	400	Madeira	Reparo urgente	Antigo	Tolerável	Sim	Sim	Nova		Dois lados	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Vidro		Smart Roku	Avaria fotografada
426	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Antiga		Um lado	Sim	Bom estado	Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Sim	Bom estado	Vidro		Toshiba	Avaria fotografada
427	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Nova		Dois lados	Sim	Bom estado	Midea	Danificado	"[""Guarda Roupa""]"	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Não	Não		Vidro		Smart Roku	.; Avaria fotografada; Avaria fotografada
428	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Nova		Dois lados	Não		Midea	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Vidro		Toshiba	Avaria fotografada
429	400	Madeira	Reparo urgente	Antigo	Reparo urgente	Sim	Sim	Nova		Dois lados	Sim	Bom estado	Midea	Danificado	"[""Guarda Roupa""]"	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Não	Não				Smart Roku	Avaria fotografada; Avaria fotografada; Avaria fotografada; Avaria fotografada; Avaria fotografada
